competencia,codigo_uf,sigla_uf,estado,regiao,internacoes,permanencia_media,obitos,taxa_mortalidade,leitos_sus,populacao,internacoes_por_100k_hab,leitos_sus_por_10k_hab,internacoes_por_leito,variacao_mensal_internacoes_pct,tercil_pressao_assistencial
2025-11,11,RO,Rondônia,Norte,12159,4.9,365,3.0,4265,1757338,691.9,24.27,2.851,,alto
2025-11,12,AC,Acre,Norte,4604,5.0,137,2.98,1458,887794,518.59,16.42,3.158,,medio
2025-11,13,AM,Amazonas,Norte,21821,4.4,634,2.91,5490,4360926,500.38,12.59,3.975,,baixo
2025-11,14,RR,Roraima,Norte,2740,6.5,77,2.81,1332,761012,360.05,17.5,2.057,,baixo
2025-11,15,PA,Pará,Norte,48679,4.2,1296,2.66,11466,8756324,555.93,13.09,4.246,,medio
2025-11,16,AP,Amapá,Norte,4195,5.1,127,3.03,1387,809953,517.93,17.12,3.025,,baixo
2025-11,17,TO,Tocantins,Norte,8338,5.0,241,2.89,2742,1595994,522.43,17.18,3.041,,medio
2025-11,21,MA,Maranhão,Nordeste,41621,4.9,1182,2.84,13194,7024557,592.51,18.78,3.155,,alto
2025-11,22,PI,Piauí,Nordeste,18019,4.9,612,3.4,6134,3392617,531.12,18.08,2.938,,medio
2025-11,23,CE,Ceará,Nordeste,49378,5.8,1805,3.66,16178,9302211,530.82,17.39,3.052,,medio
2025-11,24,RN,Rio Grande do Norte,Nordeste,18060,4.6,652,3.61,6209,3463737,521.4,17.93,2.909,,medio
2025-11,25,PB,Paraíba,Nordeste,20384,5.5,1120,5.49,7496,4182828,487.33,17.92,2.719,,baixo
2025-11,26,PE,Pernambuco,Nordeste,55041,5.0,2192,3.98,16092,9583176,574.35,16.79,3.42,,alto
2025-11,27,AL,Alagoas,Nordeste,14415,5.9,719,4.99,5385,3221128,447.51,16.72,2.677,,baixo
2025-11,28,SE,Sergipe,Nordeste,10306,5.5,533,5.17,2729,2307255,446.68,11.83,3.776,,baixo
2025-11,29,BA,Bahia,Nordeste,79921,4.7,2985,3.73,24844,14889472,536.76,16.69,3.217,,medio
2025-11,31,MG,Minas Gerais,Sudeste,129094,4.6,5410,4.19,29380,21460311,601.55,13.69,4.394,,alto
2025-11,32,ES,Espírito Santo,Sudeste,25978,4.7,985,3.79,5952,4150692,625.87,14.34,4.365,,alto
2025-11,33,RJ,Rio de Janeiro,Sudeste,76618,5.7,4606,6.01,20976,17225410,444.8,12.18,3.653,,baixo
2025-11,35,SP,São Paulo,Sudeste,235133,5.1,11617,4.94,54619,46179008,509.18,11.83,4.305,,baixo
2025-11,41,PR,Paraná,Sul,90412,4.1,3372,3.73,19333,11952456,756.43,16.17,4.677,,alto
2025-11,42,SC,Santa Catarina,Sul,58436,4.0,2157,3.69,11787,8312759,702.97,14.18,4.958,,alto
2025-11,43,RS,Rio Grande do Sul,Sul,73453,5.6,3466,4.72,20285,11233317,653.89,18.06,3.621,,alto
2025-11,50,MS,Mato Grosso do Sul,Centro-Oeste,16509,4.6,705,4.27,4034,2946317,560.33,13.69,4.092,,medio
2025-11,51,MT,Mato Grosso,Centro-Oeste,21127,4.4,683,3.23,6032,3950330,534.82,15.27,3.502,,medio
2025-11,52,GO,Goiás,Centro-Oeste,37361,4.5,1259,3.37,12054,7495033,498.48,16.08,3.099,,baixo
2025-11,53,DF,Distrito Federal,Centro-Oeste,19737,5.8,548,2.78,4880,3009996,655.72,16.21,4.044,,alto
2025-12,11,RO,Rondônia,Norte,11455,5.0,347,3.03,4301,1757338,651.84,24.47,2.663,-5.79,alto
2025-12,12,AC,Acre,Norte,4527,4.6,104,2.3,1458,887794,509.92,16.42,3.105,-1.67,medio
2025-12,13,AM,Amazonas,Norte,21542,4.3,601,2.79,5497,4360926,493.98,12.61,3.919,-1.28,baixo
2025-12,14,RR,Roraima,Norte,2128,7.7,69,3.24,1332,761012,279.63,17.5,1.598,-22.34,baixo
2025-12,15,PA,Pará,Norte,48817,4.2,1273,2.61,11491,8756324,557.51,13.12,4.248,0.28,medio
2025-12,16,AP,Amapá,Norte,4900,4.5,101,2.06,1387,809953,604.97,17.12,3.533,16.81,alto
2025-12,17,TO,Tocantins,Norte,7768,4.9,314,4.04,2730,1595994,486.72,17.11,2.845,-6.84,baixo
2025-12,21,MA,Maranhão,Nordeste,39755,5.0,1251,3.15,13354,7024557,565.94,19.01,2.977,-4.48,medio
2025-12,22,PI,Piauí,Nordeste,18898,5.2,752,3.98,6162,3392617,557.03,18.16,3.067,4.88,medio
2025-12,23,CE,Ceará,Nordeste,48118,5.7,1924,4.0,16141,9302211,517.27,17.35,2.981,-2.55,medio
2025-12,24,RN,Rio Grande do Norte,Nordeste,17607,4.8,639,3.63,6223,3463737,508.32,17.97,2.829,-2.51,medio
2025-12,25,PB,Paraíba,Nordeste,19040,5.7,988,5.19,7540,4182828,455.19,18.03,2.525,-6.59,baixo
2025-12,26,PE,Pernambuco,Nordeste,55619,5.1,2377,4.27,16084,9583176,580.38,16.78,3.458,1.05,alto
2025-12,27,AL,Alagoas,Nordeste,13881,6.0,612,4.41,5519,3221128,430.94,17.13,2.515,-3.7,baixo
2025-12,28,SE,Sergipe,Nordeste,10340,5.4,441,4.26,2735,2307255,448.15,11.85,3.781,0.33,baixo
2025-12,29,BA,Bahia,Nordeste,76873,4.7,2869,3.73,24832,14889472,516.29,16.68,3.096,-3.81,medio
2025-12,31,MG,Minas Gerais,Sudeste,127389,4.7,5499,4.32,29348,21460311,593.6,13.68,4.341,-1.32,alto
2025-12,32,ES,Espírito Santo,Sudeste,25554,4.8,1038,4.06,6039,4150692,615.66,14.55,4.231,-1.63,alto
2025-12,33,RJ,Rio de Janeiro,Sudeste,75582,5.8,4583,6.06,21051,17225410,438.78,12.22,3.59,-1.35,baixo
